,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km
31,Hinckley,49741,Medium Town,52.54245,-1.3727200000000002,11,178270,221837,277459,306602
32,Stratford-upon-Avon,30543,Medium Town,52.19424,-1.70752,6,46349,56746,80027,129664
33,Burgess Hill,32495,Medium Town,50.95553,-0.13919,6,97493,105588,367175,435024
34,Spalding,36334,Medium Town,52.78836999999999,-0.15149,5,56462,62648,74010,86333
35,Brentwood,55285,Medium Town,51.62065,0.30351,5,65765,366799,495346,819275
36,Kirkby,43796,Medium Town,53.09982,-1.24379,14,238382,345613,450173,662965
37,Witney,30518,Medium Town,51.78264,-1.49617,5,59743,72671,84483,113448
38,Market Harborough,26059,Medium Town,52.47953,-0.92263,5,29047,50828,87686,155621
39,Evesham,28482,Medium Town,52.09177,-1.94862,5,45055,65086,95761,107630
40,Canvey Island,38849,Medium Town,51.52041,0.59228,14,149456,341986,562558,608056
41,Great Malvern,38204,Medium Town,52.11143,-2.32993,4,42988,51676,166701,168863
42,Salisbury,46292,Medium Town,51.06954,-1.8002599999999995,5,60050,65273,81197,97244
43,Skegness,25641,Medium Town,53.14527,0.337,4,28309,31027,32121,33570
44,Melton Mowbray,27670,Medium Town,52.76644,-0.88981,6,34342,40630,47819,72458
45,Tonbridge,41624,Medium Town,51.20013,0.27649,7,132337,192228,216287,242675
46,Boston,46092,Medium Town,52.97478,-0.02938,6,55165,61530,65019,72929
47,King's Lynn,48691,Medium Town,52.7573,0.41573,9,56624,64026,71971,78658
48,Haywards Heath,38509,Medium Town,50.99723,-0.10298,5,84654,109494,113697,267042
49,Bridgwater,44394,Medium Town,51.1276,-3.0137,5,59628,64074,102620,178751
50,Dover,45013,Medium Town,51.12576,1.31774,5,52796,57973,155148,165397
51,Barnstaple,32775,Medium Town,51.07844,-4.05579,6,44163,54609,86675,93274
52,Durham,55507,Medium Town,54.77757,-1.57475,11,104812,223506,271180,434698
53,Redcar,38001,Medium Town,54.61404,-1.0682,4,64696,89206,360234,404596
54,Kidderminster,57929,Medium Town,52.38832,-2.25001,8,95997,99396,193262,356615
55,Chadderton,36208,Medium Town,53.54508000000001,-2.14123,38,381343,573494,1441696,1607954
56,Longbenton,38778,Medium Town,55.01084,-1.5799299999999998,46,578680,833355,858737,1003864
57,Bentley,27297,Medium Town,53.54876,-1.14677,15,187283,240814,322319,399677
58,Hyde (Tameside),35576,Medium Town,53.44897003,-2.028124897,24,327694,509450,665142,818920
59,Urmston,42114,Medium Town,53.44687,-2.3528,45,467172,1077576,1277438,1508039
60,Letchworth Garden City,34503,Medium Town,51.98009,-0.22686,11,107031,213781,247536,274627
61,Chorley,38958,Medium Town,53.65204,-2.63211,17,117303,225184,367306,708298
62,Romiley,35329,Medium Town,53.41384,-2.09092,33,324266,569111,642093,1433792
63,Ashton-in-Makerfield,28283,Medium Town,53.48333,-2.65,22,367203,382709,746153,855717
64,Prescot,38570,Medium Town,53.43026,-2.80301,20,146243,242670,997851,1279020
65,Morley,29893,Medium Town,53.74434,-1.60535,31,808294,945841,1383001,1440416
66,Aldershot,58511,Medium Town,51.24969,-0.75952,17,221611,273208,341109,487482
67,Dunstable,34157,Medium Town,51.88595,-0.52085,18,293058,302731,356977,434737
68,Northfleet,30060,Medium Town,51.44629000000001,0.32593,16,255401,307638,354390,991764
69,Altrincham,56112,Medium Town,53.38671,-2.34918,21,292631,388647,1138251,1320627
70,Bilston,33518,Medium Town,52.56688000000001,-2.07482,42,632170,914317,1082192,1320390
71,Winchester,48603,Medium Town,51.06303,-1.31677,5,63778,63778,158515,193619
72,Denton,36089,Medium Town,53.45601,-2.11368,58,424328,1171422,1490093,1750091
73,Plymstock,26115,Medium Town,50.35584,-4.08664,13,270231,278830,308432,311672
74,Bedworth,31134,Medium Town,52.47816,-1.47185,21,132543,573166,594218,613534
75,Kirkby-in-Ashfield,28650,Medium Town,53.09898000000001,-1.24525,14,241479,364844,451176,659588
76,Middleton (Rochdale),44973,Medium Town,53.56660738,-2.181475594,40,409569,581496,1452155,1550146
77,Swinton,25248,Medium Town,53.51151,-2.33895,49,890762,1384460,1581476,1752685
78,St Austell,26037,Medium Town,50.3374,-4.79231,4,51064,60994,73456,79838
79,Wednesfield,25374,Medium Town,52.60391,-2.07473,35,561979,639040,1013798,1234040
80,Bromsgrove,36215,Medium Town,52.33662,-2.05815,5,79257,168665,199095,399734
81,Bloxwich,52240,Medium Town,52.62041,-2.00417,27,319212,698677,913675,1124150
82,Kingswinford,51099,Medium Town,52.49579,-2.16767,25,316386,459830,940714,1093648
83,Trowbridge,43451,Medium Town,51.3157,-2.20773,8,96360,123554,175690,305051
84,Redhill,37818,Medium Town,51.23815,-0.16885999999999998,7,103549,149332,218009,698209
85,Smethwick,53663,Medium Town,52.49626,-1.97169,43,1455879,1709702,1863885,2437846
86,Sutton in Ashfield,48527,Medium Town,53.12185,-1.27699,14,238401,330299,467220,527532
87,Brierley Hill,32149,Medium Town,52.48289000000001,-2.12118,33,452836,621217,993152,2248031
88,Kendal,29672,Medium Town,54.324,-2.74803,5,33532,34895,44879,50046
89,Yate,30397,Medium Town,51.53952,-2.40958,7,63250,69720,149580,157589
90,Wisbech,34655,Medium Town,52.67074,0.15663,5,42067,52430,59422,89710
91,Farnworth,28384,Medium Town,53.54888,-2.39362,35,459455,692031,1385420,1695080
92,Whitstable,33236,Medium Town,51.36231,1.02664,5,75102,94460,181342,188286
93,Halesowen,59669,Medium Town,52.45096,-2.05185,34,365275,568194,1826061,1992982
